State,Year,CVD_Death,Death_LL,Death_UL,CVD_Prevalence,Prev_LL,Prev_UL,CVD_Incidence,Inci_LL,Inci_UL
Bihar,2017,150063.26228014,127798.812526942,173515.085835191,4633581.15694084,4295357.72629496,4975245.62114185,573435.970920182,528061.148484813,619246.009709051
Bihar,2018,158363.684787527,132394.41118187,184834.96392087,4764831.2229068,4417935.74255235,5105040.14206413,590660.385386798,545291.791343775,637314.544990609
Bihar,2019,165213.262341753,137013.366862921,195297.55314599,4880790.13311476,4530763.83328758,5224938.18260386,606758.967714493,560231.834891045,658639.683819364
Chhattisgarh,2011,50431.7990584578,44633.4252797577,56121.6740903988,1161094.71790485,1078382.49074316,1240625.84835389,146704.685770515,135524.229105331,158541.87757191
Chhattisgarh,2012,53536.5039126485,47803.866317955,59259.1664513253,1211658.53231753,1128893.42572181,1291795.45037539,152035.413052973,140699.88089434,163873.744745634
Chhattisgarh,2013,55137.2456234914,48300.8022915106,61526.7590664293,1262292.45190817,1180711.89831036,1345317.22747619,157244.194403865,145772.8869834,169182.70981708
Chhattisgarh,2014,55510.9748206073,49397.8170799575,61986.2797389293,1311639.27082935,1227788.13043845,1394552.13806232,162439.256441068,150934.704914046,174655.206856686
Chhattisgarh,2015,57592.410633227,50368.8733053834,64909.6804245672,1358809.48054886,1271834.2324902,1445335.34157605,167717.312067019,155592.196701763,180284.469302247
Chhattisgarh,2016,59327.0182868274,52201.7878606014,67004.1847391136,1406323.88036757,1316630.69476282,1498874.97973551,172931.126729672,159804.633004919,186377.030651485
Chhattisgarh,2017,60715.9664189551,52234.006879705,69705.5195323142,1452389.21337577,1355654.15456186,1547158.98318241,178205.956499733,164699.458006578,192857.470000656
Chhattisgarh,2018,63119.5486227756,53704.7746686632,73582.1136524472,1493643.60164434,1392551.59915644,1592018.47645006,183798.317593446,169733.976590078,199075.501971813
Chhattisgarh,2019,65044.0739311008,54439.7516785522,75849.1590673552,1528804.16228655,1427959.69430632,1627524.31490194,189447.551974713,175274.797107995,205185.771806119
Delhi,2011,26140.9853385024,23823.6186229241,29073.8909488502,670975.747237111,623490.641576475,719349.616112696,81880.5430699968,75267.518407201,89142.6759496208
Delhi,2012,25308.893757665,23558.3352596168,27616.4054462712,699722.922723023,650920.047100473,750577.374082707,85132.5372807785,78410.9382051362,92658.6942007342
Delhi,2013,26110.4172357736,24064.2251449424,28488.0384417539,729541.40866464,679292.288324435,783318.385875134,88541.6042778402,81748.7756906832,96133.6946909852
Delhi,2014,25089.710782281,22952.5534410735,27396.4662205646,760102.717190146,708706.316768812,812501.754325353,92014.9189342387,85045.4470159558,99775.5302614997
Delhi,2015,23957.5447315465,22145.0869059404,26119.5298611953,792147.150175994,738898.629414338,847431.468559636,95528.1257524637,88350.1913067708,103592.39160364
Delhi,2016,25269.3227673541,23004.6805778717,27976.8226966002,823953.931098248,766155.479228629,881130.594350516,97633.6506525442,89892.4939311174,105925.097266033
Delhi,2017,26103.0358301062,23407.1647361436,29421.1712147249,856572.639211805,797497.587670515,918404.653341622,100011.583658813,91886.0533742849,108816.30999883
Delhi,2018,27475.0615228965,23925.2293395627,31607.4448272539,888732.259908711,827600.861589953,950906.697728945,104197.528909919,95682.2567078895,113150.991245199
