State,Year,Forecasted_CVD_Prevalences,Lower_80,Upper_80,Lower_95,Upper_95
Karnataka,2021,3964284.6812114604,3943710.1478354195,3984859.2145875013,3932818.647772048,3995750.7146508726
Karnataka,2022,4015397.3867961257,3973701.0450953743,4057093.728496877,3951628.335110859,4079166.4384813923
Karnataka,2023,4062558.077649257,3992172.5734431776,4132943.5818553367,3954912.7382133957,4170203.4170851186
Karnataka,2024,4106555.3655461655,4000010.841223379,4213099.889868952,3943609.5769903436,4269501.154101987
Karnataka,2025,4148020.4973294865,3998053.7049313644,4297987.289727609,3918666.0804805574,4377374.914178416
Karnataka,2026,4187458.7565732333,3987070.5958049116,4387846.917341555,3880991.511248438,4493926.001898028
Karnataka,2027,4225274.599146208,3967756.5507954685,4482792.647496947,3831434.730578759,4619114.467713656
Karnataka,2028,4261791.77305492,3940733.2991754087,4582850.246934432,3770775.209497582,4752808.336612258
Karnataka,2029,4297269.423436835,3906553.7818151833,4687985.0650584875,3699721.4149417803,4894817.431931891
Karnataka,2030,4331914.983854232,3865708.1741764075,4798121.793532057,3618913.1968933195,5044916.770815145
Kerala,2020,3030902.751050008,3027325.1344302506,3034480.3676697654,3025431.2585921627,3036374.2435078532
Kerala,2021,3099824.1087474567,3091824.3147882456,3107823.902706668,3087589.4796733377,3112058.7378215757
Kerala,2022,3168745.4664449054,3155359.2507925443,3182131.6820972664,3148273.016273332,3189217.916616479
Kerala,2023,3237666.824142354,3218071.410894888,3257262.23738982,3207698.225718543,3267635.422566165
Kerala,2024,3306588.181839803,3280055.866876948,3333120.4968026574,3266010.5077517773,3347165.8559278282
Kerala,2025,3375509.5395372515,3341381.2521249764,3409637.8269495266,3323314.8280792963,3427704.2509952066
Kerala,2026,3444430.8972347,3402099.9665230424,3486761.827946358,3379691.325408222,3509170.469061178
Kerala,2027,3513352.254932149,3462253.668862621,3564450.841001677,3435203.7113621244,3591500.7985021733
Kerala,2028,3582273.6126295975,3521876.492721276,3642670.732537919,3489904.18874305,3674643.036516145
Kerala,2029,3651194.9703270462,3580997.0632284954,3721392.877425597,3543836.535908701,3758553.4047453916
Kerala,2030,3720116.328024495,3639639.8321822267,3800592.823866763,3597038.1486569685,3843194.5073920214
Madhya Pradesh,2020,3897205.48977775,3888699.187939568,3905711.791615932,3884196.223749989,3910214.7558055106
Madhya Pradesh,2021,3993171.31141159,3974150.642264284,4012191.9805588955,3964081.708236138,4022260.914587042
Madhya Pradesh,2022,4089137.13304543,4057309.4659384685,4120964.800152391,4040460.916716151,4137813.3493747087
