State,Year,Forecasted_CVD_Deaths,Lower_80,Upper_80,Lower_95,Upper_95
Assam,2022,49354.78946167432,44113.48237473544,54596.096548613205,41338.902002671224,57370.67692067742
Assam,2023,49354.78946167432,44113.48237473544,54596.096548613205,41338.902002671224,57370.67692067742
Assam,2024,49354.78946167432,44113.48237473544,54596.096548613205,41338.902002671224,57370.67692067742
Assam,2025,49354.78946167432,44113.48237473544,54596.096548613205,41338.902002671224,57370.67692067742
Assam,2026,49354.78946167432,44113.48237473544,54596.096548613205,41338.902002671224,57370.67692067742
Assam,2027,49354.78946167432,44113.48237473544,54596.096548613205,41338.902002671224,57370.67692067742
Assam,2028,49354.78946167432,44113.48237473544,54596.096548613205,41338.902002671224,57370.67692067742
Assam,2029,49354.78946167432,44113.48237473544,54596.096548613205,41338.902002671224,57370.67692067742
Assam,2030,49354.78946167432,44113.48237473544,54596.096548613205,41338.902002671224,57370.67692067742
Bihar,2020,172062.83989597906,168844.92680437418,175280.75298758395,167141.46651195505,176984.21328000308
Bihar,2021,178912.4174502051,171716.9450316901,186107.8898687201,167907.89202086924,189916.94287954096
Bihar,2022,185761.99500443114,173721.66671523117,197802.3232936311,167347.901929025,204176.08807983727
Bihar,2023,192611.57255865718,174986.33667502538,210236.80844228898,165656.10039530232,219567.04472201204
Bihar,2024,199461.15011288322,175596.46791131777,223325.83231444866,162963.26826785147,235959.03195791497
Bihar,2025,206310.72766710925,175613.79321876232,237007.6621154562,159363.81770880448,253257.63762541403
Bihar,2026,213160.3052213353,175085.44405130486,251235.16639136572,154929.83005671727,271390.7803859533
Bihar,2027,220009.88277556133,174048.89070962672,265970.87484149594,149718.6111912749,290301.1543598478
Bihar,2028,226859.46032978737,172534.83488644176,281184.085773133,143777.1152995748,309941.80535999994
Bihar,2029,233709.0378840134,170569.02366108185,296849.05210694496,137144.71914144015,330273.35662658664
Bihar,2030,240558.61543823945,168173.45037970156,312943.7804967773,129855.058637205,351262.1722392739
Chhattisgarh,2020,66870.60829018109,65853.96189947255,67887.25468088963,65315.78180923913,68425.43477112305
Chhattisgarh,2021,68697.14264926135,67259.38753538368,70134.89776313903,66498.28595277641,70895.9993457463
Chhattisgarh,2022,70523.67700834163,68762.79380630293,72284.56021038034,67830.63854639664,73216.71547028662
Chhattisgarh,2023,72350.2113674219,70316.91858600483,74383.50414883897,69240.55840553799,75459.86432930581
Chhattisgarh,2024,74176.74572650218,71903.455287798075,76450.03616520629,70700.04802189919,77653.44343110517
Chhattisgarh,2025,76003.28008558246,73513.01517950436,78493.54499166056,72194.74856870747,79811.81160245746
Chhattisgarh,2026,77829.81444466273,75140.02092355653,80519.60796576893,73716.1302442326,81943.49864509286
Chhattisgarh,2027,79656.348803743,76780.83857598767,82531.85903149834,75258.6354107731,84054.06219671291
Chhattisgarh,2028,81482.88316282327,78432.94399069766,84532.82233494888,76818.4037199974,86147.36260564915
Chhattisgarh,2029,83309.41752190355,80094.49935227513,86524.33569153197,78392.62447578259,88226.21056802451
Chhattisgarh,2030,85135.95188098383,81764.11725853456,88507.7865034331,79979.17582959069,90292.72793237698
Delhi,2020,26016.822385942793,24233.067647222844,27800.57712466274,23288.804927154022,28744.839844731563
Delhi,2021,26016.822385942793,24233.067647222844,27800.57712466274,23288.804927154022,28744.839844731563
Delhi,2022,26016.822385942793,24233.067647222844,27800.57712466274,23288.804927154022,28744.839844731563
Delhi,2023,26016.822385942793,24233.067647222844,27800.57712466274,23288.804927154022,28744.839844731563
Delhi,2024,26016.822385942793,24233.067647222844,27800.57712466274,23288.804927154022,28744.839844731563
Delhi,2025,26016.822385942793,24233.067647222844,27800.57712466274,23288.804927154022,28744.839844731563
Delhi,2026,26016.822385942793,24233.067647222844,27800.57712466274,23288.804927154022,28744.839844731563
Delhi,2027,26016.822385942793,24233.067647222844,27800.57712466274,23288.804927154022,28744.839844731563
Delhi,2028,26016.822385942793,24233.067647222844,27800.57712466274,23288.804927154022,28744.839844731563
Delhi,2029,26016.822385942793,24233.067647222844,27800.57712466274,23288.804927154022,28744.839844731563
Delhi,2030,26016.822385942793,24233.067647222844,27800.57712466274,23288.804927154022,28744.839844731563
Goa,2020,4070.7291832767996,4013.4237908030937,4128.034575750506,3983.0881484654797,4158.37021808812
Goa,2021,4172.554272294739,4091.5122090613113,4253.596335528167,4048.611132244158,4296.497412345321
Goa,2022,4274.37936131268,4175.123510000546,4373.635212624814,4122.580636191561,4426.178086433799
Goa,2023,4376.20445033062,4261.593665383208,4490.815235278032,4200.92238070798,4551.48651995326
Goa,2024,4478.029539348559,4349.890786300049,4606.16829239707,4282.058227892022,4674.000850805097
Goa,2025,4579.8546283665,4439.485657295993,4720.223599437007,4365.178812549268,4794.5304441837325
Goa,2026,4681.67971738444,4530.063900116062,4833.295534652818,4449.803334629332,4913.556100139547
Goa,2027,4783.5048064023795,4621.420679935523,4945.588932869236,4535.618526301217,5031.391086503542
Goa,2028,4885.32989542032,4713.413717999202,5057.246072841438,4622.40679098636,5148.2529998542805
Goa,2029,4987.15498443826,4805.939422011478,5168.370546865041,4710.009697940383,5264.300270936136
Goa,2030,5088.9800734561995,4898.919588156861,5279.040558755538,4798.307644748575,5379.6525021638245
Gujarat,2020,143328.0496555309,141136.61258824257,145519.48672281922,139976.53587976957,146679.56343129222
Gujarat,2021,148193.79624247376,145094.6362208275,151292.95626412003,143454.04000631184,152933.55247863568
Gujarat,2022,153059.54282941663,149263.8624872835,156855.22317154976,147254.55068753104,158864.53497130223
Gujarat,2023,157925.28941635953,153542.41528178286,162308.1635509362,151222.2618648369,164628.31696788216
Gujarat,2024,162791.03600330243,157890.83375243295,167691.2382541719,155296.82337317316,170285.2486334317
Gujarat,2025,167656.7825902453,162288.8799719677,173024.68520852292,159447.28397372144,175866.28120676917
Gujarat,2026,172522.52917718817,166724.53168329454,178320.5266710818,163655.25721091664,181389.8011434597
Gujarat,2027,177388.27576413107,171189.9557208385,183586.59580742364,167908.76329180726,186867.7882364549
Gujarat,2028,182254.02235107397,175679.71114920898,188828.33355293897,172199.48102379002,192308.56367835792
Gujarat,2029,187119.76893801684,180189.83645646603,194049.70141956766,176521.35179718025,197718.18607885344
Gujarat,2030,191985.51552495972,184717.3410210875,199253.69002883194,180869.80185105212,203101.2291988673
Haryana,2020,50620.934055081,49195.08897684498,52046.779133317024,48440.29218626262,52801.575923899385
Haryana,2021,50620.934055081,48604.484607596685,52637.38350256532,47537.04074951943,53704.82736064257
Haryana,2022,50620.934055081,48151.297935854185,53090.57017430782,46843.95154517561,54397.91656498639
Haryana,2023,50620.934055081,47769.24389860895,53472.624211553055,46259.65031744423,54982.21779271777
Haryana,2024,50620.934055081,47432.647534761745,53809.22057540026,45744.87060182091,55496.99750834109
Haryana,2025,50620.934055081,47128.34116114398,54113.52694901802,45279.474164726824,55962.39394543518
Haryana,2026,50620.934055081,46848.50256996304,54393.36554019896,44851.49797169242,56390.37013846958
Haryana,2027,50620.934055081,46588.03516011237,54653.83295004963,44453.14744395786,56788.72066620414
Haryana,2028,50620.934055081,46343.398820372924,54898.46928978908,44079.00844862585,57162.85966153615
Haryana,2029,50620.934055081,46112.016017314185,55129.85209284782,43725.1389884888,57516.729121673205
Haryana,2030,50620.934055081,45891.94092139717,55349.927188764836,43388.563174071016,57853.304936090986
Himachal Pradesh,2020,15471.306449261774,15020.08013605232,15922.532762471228,14781.215354572585,16161.397543950963
Himachal Pradesh,2021,15957.17383021885,15319.04345837843,16595.30420205927,14981.237644836501,16933.110015601196
Himachal Pradesh,2022,16443.04121117592,15661.494310985161,17224.588111366684,15247.768373323419,17638.314049028424
Himachal Pradesh,2023,16928.908592132997,16026.45596571409,17831.361218551905,15548.726402754617,18309.090781511375
Himachal Pradesh,2024,17414.775973090073,16405.803263517122,18423.748682663023,15871.6853746978,18957.866571482344
Himachal Pradesh,2025,17900.643354047144,16795.36912816672,19005.91757992757,16210.272296019959,19591.01441207433
Himachal Pradesh,2026,18386.51073500422,17192.678125243467,19580.343344764973,16560.701316476298,20212.320153532142
Himachal Pradesh,2027,18872.37811596129,17596.117372280452,20148.63885964213,16920.505745196595,20824.25048672599
Himachal Pradesh,2028,19358.245496918367,18004.566557290007,20711.924436546728,17287.972212850796,21428.518780985938
Himachal Pradesh,2029,19844.112877875443,18417.20998793305,21271.015767817837,17661.853225658677,22026.37253009221
Himachal Pradesh,2030,20329.980258832515,18833.43188238137,21826.52863528366,18041.20702658285,22618.753491082178
Jammu & Kashmir and Ladakh,2020,24937.76289871928,24412.886070284967,25462.639727153593,24135.03306114642,25740.49273629214
Jammu & Kashmir and Ladakh,2021,25695.635474845854,24953.347545498673,26437.923404193036,24560.404051628764,26830.866898062945
Jammu & Kashmir and Ladakh,2022,26453.508050972436,25544.39471640859,27362.62138553628,25063.13918754473,27843.87691440014
Jammu & Kashmir and Ladakh,2023,27211.380627099014,26161.626970230387,28261.13428396764,25605.920951953292,28816.840302244735
Jammu & Kashmir and Ladakh,2024,27969.25320322559,26795.59293503197,29142.91347141921,26174.29471884531,29764.21168760587
Jammu & Kashmir and Ladakh,2025,28727.125779352173,27441.44537187776,30012.806186826587,26760.847275991444,30693.4042827129
Jammu & Kashmir and Ladakh,2026,29484.998355478747,28096.304798501238,30873.691912456256,27361.174835289687,31608.821875667807
Jammu & Kashmir and Ladakh,2027,30242.87093160533,28758.295072910965,31727.44679029969,27972.408085171148,32513.33377803951
Jammu & Kashmir and Ladakh,2028,31000.743507731906,29426.113022428966,32575.373993034846,28592.553995013324,33408.93302045049
Jammu & Kashmir and Ladakh,2029,31758.616083858484,30098.809814960623,33418.422352756344,29220.161451351236,34297.070716365735
Jammu & Kashmir and Ladakh,2030,32516.48865998506,30775.669158916702,34257.30816105342,29854.13498073295,35178.84233923718
Jharkhand,2020,43658.246555023456,40759.45053380704,46557.04257623987,39224.92061413727,48091.57249590964
Jharkhand,2021,43658.246555023456,40759.45053380704,46557.04257623987,39224.92061413727,48091.57249590964
Jharkhand,2022,43658.246555023456,40759.45053380704,46557.04257623987,39224.92061413727,48091.57249590964
Jharkhand,2023,43658.246555023456,40759.45053380704,46557.04257623987,39224.92061413727,48091.57249590964
Jharkhand,2024,43658.246555023456,40759.45053380704,46557.04257623987,39224.92061413727,48091.57249590964
