State,Year,Forecasted_CVD_Deaths,Lower_80,Upper_80,Lower_95,Upper_95,Forecasted_CVD_DALY
Chhattisgarh,2024,5404.8677777777775,5328.862651379394,5480.872904176161,5288.627967858041,5521.107587697514,NA
Chhattisgarh,2025,5404.8677777777775,5328.862651379394,5480.872904176161,5288.627967858041,5521.107587697514,NA
Chhattisgarh,2026,5404.8677777777775,5328.862651379394,5480.872904176161,5288.627967858041,5521.107587697514,NA
Chhattisgarh,2027,5404.8677777777775,5328.862651379394,5480.872904176161,5288.627967858041,5521.107587697514,NA
Chhattisgarh,2028,5404.8677777777775,5328.862651379394,5480.872904176161,5288.627967858041,5521.107587697514,NA
Chhattisgarh,2029,5404.8677777777775,5328.862651379394,5480.872904176161,5288.627967858041,5521.107587697514,NA
Chhattisgarh,2030,5404.8677777777775,5328.862651379394,5480.872904176161,5288.627967858041,5521.107587697514,NA
Delhi,2020,3759.72,3505.483825693654,4013.9561743063464,3370.8993246525097,4148.540675347491,NA
Delhi,2021,3834.38,3265.890631911525,4402.869368088475,2964.9505388656344,4703.809461134366,NA
Delhi,2022,3909.04,2957.775340421513,4860.304659578487,2454.20624795563,5363.87375204437,NA
Delhi,2023,3983.7,2591.1911239859896,5376.2088760140105,1854.0414528778656,6113.358547122134,NA
Delhi,2024,4058.36,2172.8940687442873,5943.825931255712,1174.7886957364262,6941.931304263573,NA
Delhi,2025,4133.0199999999995,1707.7614691090484,6558.278530890951,423.9071546461728,7842.132845353826,NA
Delhi,2026,4207.679999999999,1199.5170181072722,7215.842981892727,-392.9082733488567,8808.268273348855,NA
Delhi,2027,4282.339999999999,651.12111448937,7913.558885510629,-1271.1300490635997,9835.8100490636,NA
Delhi,2028,4356.999999999999,64.99939272032134,8649.000607279677,-2207.0484847111256,10921.048484711124,NA
Delhi,2029,4431.659999999999,-556.8139595874218,9420.13395958742,-3197.5525588035825,12060.87255880358,NA
Delhi,2030,4506.319999999999,-1212.581324285894,10225.221324285892,-4239.984813708782,13252.62481370878,NA
Goa,2020,5627.403749998423,5573.736766629547,5681.0707333673,5545.327181727673,5709.480318269174,NA
Goa,2021,5695.767499996847,5619.870924264929,5771.664075728764,5579.69370399531,5811.841295998383,NA
Goa,2022,5764.13124999527,5671.177308111422,5857.085191879119,5621.9704636394345,5906.292036351106,NA
Goa,2023,5832.494999993694,5725.16103325594,5939.828966731448,5668.341863452193,5996.648136535196,NA
Goa,2024,5900.858749992118,5780.855727031958,6020.8617729522775,5717.329963978817,6084.387536005418,NA
Goa,2025,5969.222499990541,5837.765774702361,6100.679225278721,5768.176787888494,6170.268212092588,NA
Goa,2026,6037.5862499889645,5895.5967583798765,6179.575741598052,5820.432061878943,6254.740438098986,NA
Goa,2027,6105.949999987388,5954.156848523554,6257.743151451222,5873.802407984314,6338.097591990461,NA
Goa,2028,6174.313749985811,6013.312799879181,6335.314700092442,5928.084045173559,6420.543454798063,NA
Goa,2029,6242.677499984235,6072.967597388208,6412.387402580262,5983.128601718355,6502.2263982501145,NA
Goa,2030,6311.041249982659,6133.048002517851,6489.0344974474665,6038.82406894859,6583.258431016728,NA
Gujarat,2020,5377.074999995916,5253.599811895636,5500.5501880961965,5188.235995645736,5565.914004346097,NA
Gujarat,2021,5455.069999991832,5280.449714363847,5629.690285619818,5188.011318934776,5722.128681048889,NA
Gujarat,2022,5533.064999987749,5319.19970072394,5746.930299251558,5205.986250002516,5860.143749972982,NA
Gujarat,2023,5611.059999983665,5364.109623783105,5858.010376184225,5233.381991283304,5988.738008684026,NA
Gujarat,2024,5689.05499997958,5412.956085852781,5965.1539141063795,5266.798149449198,6111.311850509963,NA
Gujarat,2025,5767.0499999754975,5464.598793235638,6069.501206715357,5304.4907957823425,6229.6092041686525,NA
Gujarat,2026,5845.044999971413,5518.36035917115,6171.729640771676,5345.423956631791,6344.666043311035,NA
Gujarat,2027,5923.03999996733,5573.79942871136,6272.2805712233,5388.922637853216,6457.157362081444,NA
Gujarat,2028,6001.034999963245,5630.609435662405,6371.460564264085,5434.517986912704,6567.552013013787,NA
Gujarat,2029,6079.0299999591625,5688.567171044559,6469.4928288737665,5481.868635134148,6676.1913647841775,NA
Gujarat,2030,6157.024999955078,5747.504130107893,6566.545869802263,5530.716876741239,6783.333123168917,NA
Haryana,2020,4588.07,4492.285565651666,4683.854434348334,4441.5803489788195,4734.55965102118,NA
Haryana,2021,4588.07,4452.610353880351,4723.5296461196485,4380.902348778544,4795.237651221455,NA
Haryana,2022,4588.07,4422.166493134439,4753.97350686556,4334.342481648281,4841.797518351718,NA
Haryana,2023,4588.07,4396.501131303332,4779.6388686966675,4295.090697957639,4881.04930204236,NA
Haryana,2024,4588.07,4373.889493610759,4802.25050638924,4260.509182316419,4915.63081768358,NA
Haryana,2025,4588.07,4353.447010545467,4822.692989454533,4229.245102399731,4946.894897600268,NA
Haryana,2026,4588.07,4334.648207243315,4841.491792756685,4200.494813753317,4975.645186246682,NA
Haryana,2027,4588.07,4317.150707760701,4858.989292239298,4173.73469755709,5002.4053024429095,NA
Haryana,2028,4588.07,4300.716696954998,4875.423303045001,4148.601046936458,5027.538953063541,NA
Haryana,2029,4588.07,4285.173023068398,4890.9669769316015,4124.829049129859,5051.31095087014,NA
Haryana,2030,4588.07,4270.388970510146,4905.751029489854,4102.218791892642,5073.921208107357,NA
Himachal Pradesh,2020,4825.42249999505,4675.764492387631,4975.080507602469,4596.540328731101,5054.304671258999,NA
Himachal Pradesh,2021,4919.1249999901,4707.476615913953,5130.773384066248,4595.436729203221,5242.813270776979,NA
Himachal Pradesh,2022,5012.82749998515,4753.612227049572,5272.042772920729,4616.391950409308,5409.263049560992,NA
Himachal Pradesh,2023,5106.5299999802,4807.2139847653625,5405.846015195038,4648.765657452302,5564.294342508098,NA
Himachal Pradesh,2024,5200.23249997525,4865.587021587881,5534.877978362619,4688.43640619131,5712.02859375919,NA
Himachal Pradesh,2025,5293.9349999703,4927.349245410562,5660.520754530038,4733.290469153313,5854.579530787287,NA
Himachal Pradesh,2026,5387.63749996535,4991.679630126708,5783.595369803992,4782.072195264445,5993.202804666254,NA
Himachal Pradesh,2027,5481.3399999604,5058.043231808106,5904.636768112694,4833.963458386643,6128.716541534157,NA
Himachal Pradesh,2028,5575.042499955449,5126.0684771331935,6024.016522777704,4888.3959861636,6261.689013747297,NA
Himachal Pradesh,2029,5668.744999950499,5195.48482582825,6142.005174072748,4944.956022951678,6392.533976949319,NA
Himachal Pradesh,2030,5762.447499945549,5266.088041839587,6258.80695805151,5003.331216661164,6521.5637832299335,NA
Jammu & Kashmir and Ladakh,2020,4298.135000002541,4225.342394067992,4370.92760593709,4186.808316154354,4409.461683850729,NA
