State,Year,Forecasted_CVD_DALY,Lower_80,Upper_80,Lower_95,Upper_95
Bihar,2029,4703257.4429193605,2572604.360086159,6833910.525752562,1444704.7493118267,7961810.136526894
Bihar,2030,4694893.695774931,2252263.978606598,7137523.4129432645,959213.9136018772,8430573.477947986
Chhattisgarh,2020,2006516.9320803594,1970236.4065920236,2042797.4575686953,1951030.6565303719,2062003.207630347
Chhattisgarh,2021,2015974.671246069,1934848.9499947364,2097100.3924974017,1891903.5872980123,2140045.7551941257
Chhattisgarh,2022,2025432.4104117786,1889683.1142223065,2161181.706601251,1817821.7776355932,2233043.043187964
Chhattisgarh,2023,2034890.1495774882,1836173.5274964615,2233606.771658515,1730979.3020707325,2338800.9970842437
Chhattisgarh,2024,2044347.8887431978,1775284.3105055657,2313411.46698083,1632850.6559548066,2455845.121531589
Chhattisgarh,2025,2053805.6279089074,1707711.472795605,2399899.78302221,1524500.29403135,2583110.961786465
Chhattisgarh,2026,2063263.367074617,1633986.400351069,2492540.333798165,1406740.9010330648,2719785.833116169
Chhattisgarh,2027,2072721.1062403265,1554531.5539905764,2590910.6584900767,1280218.5750270397,2865223.6374536133
Chhattisgarh,2028,2082178.8454060361,1469693.0815165485,2694664.6092955237,1145462.7033936293,3018894.987418443
Chhattisgarh,2029,2091636.5845717457,1379761.2696898011,2803511.8994536903,1002917.2414224092,3180355.9277210822
Chhattisgarh,2030,2101094.3237374555,1284984.0836147426,2917204.5638601687,852961.4190149535,3349227.2284599575
Delhi,2020,763372.741699862,739875.3217294494,786870.1616702745,727436.5389673173,799308.9444324066
Delhi,2021,757959.0891165009,730283.2308617759,785634.9473712259,715632.5164846417,800285.6617483601
Delhi,2022,754590.1061253066,725456.5949220292,783723.617328584,710034.2456848782,799145.9665657349
Delhi,2023,752493.5463220712,722814.7511042161,782172.3415399264,707103.7459461369,797883.3466980056
Delhi,2024,751188.8312136746,721301.5347066051,781076.1277207441,705480.1556332012,796897.506794148
Delhi,2025,750376.890857167,720409.237177043,780344.5445372909,704545.3195857821,796208.4621285518
Delhi,2026,749871.6103263575,719872.8943298387,779870.3263228764,703992.5333415491,795750.687311166
Delhi,2027,749557.1679996906,719546.4310528554,779567.9049465258,703659.7065578589,795454.6294415224
Delhi,2028,749361.4866488946,719346.0956095335,779376.8776882557,703456.9073867762,795266.065911013
Delhi,2029,749239.711722932,719222.5184744772,779256.9049713869,703332.3762198545,795147.0472260097
Delhi,2030,749163.929679662,719146.0385139076,779181.8208454164,703255.5268041836,795072.3325551404
Goa,2020,95078.31574133135,93657.82961228547,96498.80187037722,92905.8696780428,97250.76180461989
Goa,2021,96576.94316721968,94568.07241836014,98585.81391607922,93504.640480993,99649.24585344637
Goa,2022,98075.57059310802,95615.21644615372,100535.92474006231,94312.78363478927,101838.35755142676
Goa,2023,99574.19801899637,96733.2257609046,102415.17027708812,95229.30589241929,103919.09014557344
Goa,2024,101072.8254448847,97896.52189924258,104249.12899052682,96215.08836991971,105930.56251984969
Goa,2025,102571.45287077304,99091.98666790938,106050.91907363669,97250.06852199807,107892.837219548
Goa,2026,104070.08029666138,100311.8272583892,107828.33333493357,98322.32827649862,109817.83231682415
Goa,2027,105568.70772254972,101550.96622483064,109586.4492202688,99424.10235009633,111713.3130950031
Goa,2028,107067.33514843805,102805.87676130043,111328.79353557568,100549.99695857243,113584.67333830368
Goa,2029,108565.9625743264,104073.99102186557,113057.93412678724,101696.08492046832,115435.84022818449
Goa,2030,110064.59000021474,105353.37049026521,114775.80951016427,102859.40153100197,117269.7784694275
Gujarat,2020,4674353.9715549415,4572088.258033032,4776619.685076851,4517952.059415685,4830755.883694198
Gujarat,2021,4806078.912075503,4661453.353047057,4950704.471103949,4584893.206747081,5027264.6174039245
Gujarat,2022,4937803.852596063,4760674.440903832,5114933.264288294,4666907.794369947,5208699.910822179
Gujarat,2023,5069528.7931166245,4864997.366072806,5274060.220160443,4756724.9688381115,5382332.617395137
Gujarat,2024,5201253.733637186,4972580.646434677,5429926.820839695,4851528.4262828585,5550979.040991513
Gujarat,2025,5332978.674157746,5082479.857847426,5583477.490468066,4949873.794620961,5716083.553694531
Gujarat,2026,5464703.614678307,5194133.969050759,5735273.260305855,5050903.050582861,5878504.178773754
Gujarat,2027,5596428.555198869,5307177.437141976,5885679.673255761,5154057.144542025,6038799.965855712
Gujarat,2028,5728153.495719429,5421356.3551537,6034950.636285158,5258947.75930166,6197359.232137199
Gujarat,2029,5859878.43623999,5536485.854968477,6183271.017511504,5365292.163474401,6354464.709005579
Gujarat,2030,5991603.376760552,5652426.376090403,6330780.377430701,5472876.917700506,6510329.835820598
Haryana,2020,1408267.3589791202,1387781.3595670017,1428753.3583912386,1376936.7265531057,1439597.9914051346
Haryana,2021,1387238.0500551101,1341429.9627825923,1433046.137327628,1317180.626172483,1457295.4739377373
Haryana,2022,1366208.7411311,1289557.1501053001,1442860.3321569,1248980.2488820045,1483437.2333801957
Haryana,2023,1345179.43220709,1232972.992296541,1457385.872117639,1173574.4910007818,1516784.3734133984
Haryana,2024,1324150.12328308,1172221.885436284,1476078.3611298762,1091795.9344855226,1556504.3120806376
Haryana,2025,1303120.81435907,1107696.8351648264,1498544.7935533137,1004245.6295954708,1601995.9991226692
Haryana,2026,1282091.50543506,1039697.8915178098,1524485.1193523102,911382.4632605233,1652800.5476095967
Haryana,2027,1261062.19651105,968463.5993334192,1553660.7936886807,813571.2583283202,1708553.1346937797
Haryana,2028,1240032.88758704,894189.4128830975,1585876.3622909824,711110.9363116226,1768954.8388624573
Haryana,2029,1219003.57866303,817039.2441921362,1620967.9131339237,604252.179020543,1833754.9783055168
Haryana,2030,1197974.26973902,737153.1081284224,1658795.4313496174,493209.12071681337,1902739.4187612263
Himachal Pradesh,2020,383901.2054361532,378585.43529363984,389216.9755786666,375771.436561038,392030.9743112684
Himachal Pradesh,2021,391111.1284369194,383593.494206919,398628.76266691985,379613.8990347729,402608.35783906595
Himachal Pradesh,2022,398321.0514376856,389113.86746949475,407528.2354058765,384239.87869219406,412402.22418317717
Himachal Pradesh,2023,405530.97443845175,394899.4341534249,416162.5147234786,389271.4366882214,421790.5121886821
Himachal Pradesh,2024,412740.89743921795,400854.47404779424,424627.32083064166,394562.18159309844,430919.61328533746
Himachal Pradesh,2025,419950.82043998415,406929.8960009045,432971.7448790638,400037.0349691916,439864.6059107767
Himachal Pradesh,2026,427160.7434407503,413096.53761687747,441224.9492646231,405651.39678076224,448670.09010073834
Himachal Pradesh,2027,434370.6664415165,419335.3979815157,449405.9349015173,411376.2076372234,457365.12524580956
Himachal Pradesh,2028,441580.5894422827,425633.27901474247,457527.8998698229,417191.28281693714,465969.89606762823
Himachal Pradesh,2029,448790.5124430489,431980.57127478864,465600.4536113091,423081.92594693997,474499.0989391578
Himachal Pradesh,2030,456000.4354438151,438370.0204093241,473630.85047830606,429037.04245274834,482963.8284348818
Jammu and Kashmir,2020,644455.7965711976,636643.8203992241,652267.7727431711,632508.4100150845,656403.1831273106
Jammu and Kashmir,2021,659655.4829905562,648607.6803392157,670703.2856418967,642759.3268879871,676551.6390931252
Jammu and Kashmir,2022,674855.1694099148,661324.4297725392,688385.9090472903,654161.6888770616,695548.6499427679
Jammu and Kashmir,2023,690054.8558292734,674430.9034853262,705678.8081732205,666160.0827170472,713949.6289414995
Jammu and Kashmir,2024,705254.542248632,687786.4324894905,722722.6520077734,678539.373755696,731969.7107415679
Jammu and Kashmir,2025,720454.2286679905,701318.8731638747,739589.5841721063,691189.227845726,749719.2294902551
Jammu and Kashmir,2026,735653.9150873491,714985.3688883448,756322.4612863534,704044.1014427175,767263.7287319808
Jammu and Kashmir,2027,750853.6015067077,728757.9962040269,772949.2068093886,717061.2893015696,784645.9137118459
Jammu and Kashmir,2028,766053.2879260663,742617.3594101457,789489.216441987,730211.1282577271,801895.4475944055
Jammu and Kashmir,2029,781252.9743454249,756549.3366150253,805956.6120758245,743472.0207416326,819033.9279492173
Jammu and Kashmir,2030,796452.6607647834,770543.2669311502,822362.0545984166,756827.66233282,836077.6591967468
Jharkhand,2020,1105849.43955219,1009170.3667975045,1202528.5123068755,957991.5571599293,1253707.3219444507
Jharkhand,2021,1105849.43955219,969124.5836648586,1242574.2954395215,896746.8169692889,1314952.062135091
Jharkhand,2022,1105849.43955219,938396.3735124267,1273302.5055919534,849752.0749492508,1361946.8041551292
Jharkhand,2023,1105849.43955219,912491.294042819,1299207.585061561,810133.6747676686,1401565.2043367114
Jharkhand,2024,1105849.43955219,889668.4608710654,1322030.4182333148,775229.1635139259,1436469.7155904542
Jharkhand,2025,1105849.43955219,869035.0424977993,1342663.8366065808,743673.073242706,1468025.805861674
Jharkhand,2026,1105849.43955219,850060.6560589719,1361638.2230454083,714654.2533616322,1497044.625742748
Jharkhand,2027,1105849.43955219,832399.7277775272,1379299.1513268529,687644.1943863877,1524054.6847179923
Jharkhand,2028,1105849.43955219,815812.2212881334,1395886.6578162466,662275.7923754079,1549423.0867289722
Jharkhand,2029,1105849.43955219,800123.3675742545,1411575.5115301255,638281.7611833405,1573417.1179210395
Jharkhand,2030,1105849.43955219,785201.2301454267,1426497.6489589533,615460.321360565,1596238.557743815
Karnataka,2020,4362668.218119303,4319798.970819064,4405537.465419541,4297105.362115844,4428231.074122761
Karnataka,2021,4338166.012711595,4242307.461604013,4434024.5638191765,4191563.0098888306,4484769.015534359
Karnataka,2022,4313663.807303887,4153261.7714775116,4474065.843130263,4068350.062840549,4558977.551767224
Karnataka,2023,4289161.601896179,4054357.0642000996,4523966.139592258,3930059.050220605,4648264.153571753
Karnataka,2024,4264659.396488471,3946732.549517514,4582586.243459428,3778432.242985949,4750886.549990993
Karnataka,2025,4240157.191080763,3831210.635731415,4649103.746430111,3614727.4060952263,4865586.9760663
